Movement,Period Start,Period End
Postmodernism,1918.0,1918.0
AestheticMovement,1866.0,1933.0
Deep,1920.0,1920.0
Surrealism,1887.0,1942.0
CambridgeSchool,1875.0,1875.0
Concrete,1895.0,1944.0
McGillMovement,1947.0,1947.0
Writersofthe1930s,1912.0,1920.0
Feminist,1885.0,1952.0
Postcolonialism,1885.0,1956.0
Beat,1894.0,1949.0
DawnandDuskClub,1879.0,1879.0
HarlemRenaissance,1867.0,1955.0
NewApocalypse,1910.0,1910.0
ChicagoRenaissance,1912.0,1957.0
Symbolism,1975.0,1975.0
LostGeneration,1871.0,1962.0
BlackArtsMovement,1932.0,1957.0
BlackMountainSchool,1880.0,1956.0
ConfederationPoet,1947.0,1947.0
CelticRevival,1925.0,1933.0
Objectivism,1894.0,1948.0
BlackArts,1934.0,1934.0
FirstWorldWarPoets,1866.0,1962.0
FirstWarWarPoets,1943.0,1943.0
Georgian,1900.0,1923.0
FeministWriters,1875.0,1957.0
GoldenAgeofDetectiveFiction,1899.0,1899.0
Modernism,1867.0,1950.0
Imagism,1945.0,1962.0
Lesbian/Gay,1867.0,1967.0
DeepImage,1880.0,1963.0
TheMovement,1957.0,1957.0
